11.30	-66	-0.94	-86.22	-65.0645	768
11.40	-66	-2.69	-88.90	-63.3060	768
11.50	-66	-4.45	-93.02	-61.5475	768
11.60	-66	-2.69	-94.78	-63.3060	772
11.70	-66	-4.45	-98.90	-61.5475	768
11.80	-66	2.58	-94.75	-68.5815	768
11.90	-66	0.82	-94.56	-66.8230	768
12.00	-66	2.58	-91.93	-68.5815	764
12.10	-66	-0.94	-93.64	-65.0645	772
12.20	-66	2.58	-90.50	-68.5815	764
12.30	-66	0.82	-90.31	-66.8230	768
12.40	-66	0.82	-89.63	-66.8230	728
12.50	-66	-2.69	-92.77	-63.3060	764
12.60	-66	-0.94	-93.07	-65.0645	764
12.70	-66	-2.69	-95.75	-63.3060	768
12.80	-66	-0.94	-96.05	-65.0645	768
12.90	-66	-0.94	-96.82	-65.0645	732
13.00	-66	2.58	-93.68	-68.5815	764
13.10	-66	2.58	-91.56	-68.5815	732
13.20	-66	2.58	-89.44	-68.5815	732
13.30	-66	0.82	-89.25	-66.8230	768
13.40	-66	0.82	-88.57	-66.8230	728
13.50	-66	-0.94	-89.81	-65.0645	768
13.60	-66	-2.69	-92.49	-63.3060	764
13.70	-66	-2.69	-94.71	-63.3060	724
13.80	-66	-0.94	-95.01	-65.0645	768
13.90	-66	2.58	-91.87	-68.5815	764
14.00	-66	-0.94	-93.58	-65.0645	772
14.10	-66	2.58	-90.44	-68.5815	764
14.20	-66	0.82	-90.25	-66.8230	768
14.30	-66	-0.94	-91.49	-65.0645	768
14.40	-66	-0.94	-92.25	-65.0645	728
14.50	-66	0.82	-91.09	-66.8230	768
14.60	-66	-0.94	-92.33	-65.0645	768
14.70	-66	-0.94	-93.10	-65.0645	732
14.80	-66	0.82	-91.94	-66.8230	768
14.90	-66	0.82	-91.27	-66.8230	728
15.00	-66	-0.94	-92.50	-65.0645	768
15.10	-66	0.82	-91.34	-66.8230	768
15.20	-66	-0.94	-92.58	-65.0645	768
15.30	-66	0.82	-91.42	-66.8230	768
15.40	-66	-0.94	-92.66	-65.0645	768
15.50	-66	0.82	-91.50	-66.8230	768
15.60	-66	0.82	-90.82	-66.8230	728
15.70	-66	-0.94	-92.06	-65.0645	768
15.80	-66	-2.69	-94.74	-63.3060	764
15.90	-66	-0.94	-95.04	-65.0645	764
16.00	-66	-0.94	-95.81	-65.0645	728
16.10	-66	0.82	-94.65	-66.8230	768
16.20	-66	0.82	-93.97	-66.8230	728
16.30	-66	-0.94	-95.21	-65.0645	764
16.40	-66	-0.94	-95.98	-65.0645	732
16.50	-66	0.82	-94.82	-66.8230	768
16.60	-66	2.58	-92.19	-68.5815	768
16.70	-66	0.82	-92.00	-66.8230	768
16.80	-66	0.82	-91.32	-66.8230	732
16.90	-66	-0.94	-92.56	-65.0645	768
17.00	-66	0.82	-91.40	-66.8230	768
17.10	-66	-0.94	-92.64	-65.0645	768
17.20	-66	-0.94	-93.41	-65.0645	728
17.30	-66	-0.94	-94.18	-65.0645	732
17.40	-66	0.82	-93.02	-66.8230	768
17.50	-66	-0.94	-94.25	-65.0645	768
17.60	-66	0.82	-93.09	-66.8230	768
17.70	-66	0.82	-92.42	-66.8230	728
17.80	-66	-0.94	-93.66	-65.0645	768
17.90	-66	0.82	-92.50	-66.8230	768
18.00	-66	0.82	-91.82	-66.8230	728
18.10	-66	-0.94	-93.06	-65.0645	764
