=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.08 11:19:22 =~=~=~=~=~=~=~=~=~=~=~=
68.404	160	109	216	30593	14	32278.895.112	0.000	-205.77
5.404	160	-150	255	1319	-81	1391.68	-142.44	-7.56	-15.123	-1143.002	0.000	-348.56
5.504	156	-157	175	1232	-87	1299.88	-152.99	-4.01	-8.021	-681.373	0.000	-175.12
5.604	156	-160	168	1146	-86	1209.14	-151.23	-8.77	-17.538	-1299.978	0.000	-168.02
5.704	160	-159	177	1060	-86	1118.41	-151.23	-7.77	-15.538	-1169.978	0.000	-177.54
5.804	156	-160	175	976	-84	1029.78	-147.71	-12.29	-24.572	-1757.187	0.000	-175.54
5.904	160	-160	184	890	-86	939.04	-151.23	-8.77	-17.538	-1299.978	0.000	-184.57
6.004	160	-158	177	803	-87	847.25	-152.99	-5.01	-10.021	-811.373	0.000	-177.54
6.104	160	-159	170	718	-85	757.56	-149.47	-9.53	-19.055	-1398.582	0.000	-170.02
6.204	156	-159	179	633	-85	667.88	-149.47	-9.53	-19.055	-1398.582	0.000	-179.06
6.304	160	-158	179	547	-86	577.14	-151.23	-6.77	-13.538	-1039.978	0.000	-179.06
6.404	156	-160	173	462	-85	487.46	-149.47	-10.53	-21.055	-1528.582	0.000	-173.54
6.504	160	-159	181	376	-86	396.72	-151.23	-7.77	-15.538	-1169.978	0.000	-181.06
6.604	160	-158	175	290	-86	305.98	-151.23	-6.77	-13.538	-1039.978	0.000	-175.54
6.704	156	-160	173	205	-85	216.30	-149.47	-10.53	-21.055	-1528.582	0.000	-173.54
6.804	156	-158	181	118	-87	124.50	-152.99	-5.01	-10.021	-811.373	0.000	-181.06
6.904	156	-158	170	32	-86	33.76	-151.23	-6.77	-13.538	-1039.978	0.000	-170.02
7.004	156	-159	173	-52	-84	-54.87	-147.71	-11.29	-22.572	-1627.187	0.000	-173.54
7.104	156	-158	182	-139	-87	-146.66	-152.99	-5.01	-10.021	-811.373	0.000	-182.57
7.204	156	-158	170	-225	-86	-237.40	-151.23	-6.77	-13.538	-1039.978	0.000	-170.02
7.304	156	-158	173	-311	-86	-328.14	-151.23	-6.77	-13.538	-1039.978	0.000	-173.54
7.404	160	-158	173	-397	-86	-418.87	-151.23	-6.77	-13.538	-1039.978	0.000	-173.54
7.504	160	-160	173	-483	-86	-509.61	-151.23	-8.77	-17.538	-1299.978	0.000	-173.54
7.604	160	-158	177	-568	-85	-599.30	-149.47	-8.53	-17.055	-1268.582	0.000	-177.54
7.704	160	-158	177	-654	-86	-690.04	-151.23	-6.77	-13.538	-1039.978	0.000	-177.06
7.804	160	-160	173	-740	-86	-780.77	-151.23	-8.77	-17.538	-1299.978	0.000	-173.54
7.904	160	-158	177	-825	-85	-870.46	-149.47	-8.53	-17.055	-1268.582	0.000	-177.54
8.004	160	-159	177	-912	-87	-962.25	-152.99	-6.01	-12.021	-941.373	0.000	-177.06
8.104	160	-159	172	-998	-86	-1052.99	-151.23	-7.77	-15.538	-1169.978	0.000	-172.02
8.204	160	-158	175	-1083	-85	-1142.67	-149.47	-8.53	-17.055	-1268.582	0.000	-175.54
8.304	160	-159	177	-1169	-86	-1233.41	-151.23	-7.77	-15.538	-1169.978	0.000	-177.06
8.404	160	-160	175	-1256	-87	-1325.21	-152.99	-7.01	-14.021	-1071.373	0.000	-175.54
8.504	156	-159	174	-1341	-85	-1414.89	-149.47	-9.53	-19.055	-1398.582	0.000	-174.02
8.604	160	-159	179	-1428	-87	-1506.68	-152.99	-6.01	-12.021	-941.373	0.000	-179.06
8.704	160	-158	172	-1514	-86	-1597.42	-151.23	-6.77	-13.538	-1039.978	0.000	-172.02
8.804	156	-155	173	-1601	-87	-1689.21	-152.99	-2.01	-4.021	-421.373	0.000	-173.54
8.904	160	-152	164	-1687	-86	-1779.95	-151.23	-0.77	-1.538	-259.978	0.000	-164.02
9.004	156	-150	161	-1771	-84	-1868.58	-147.71	-2.29	-4.572	-457.187	0.000	-161.54
9.104	160	-151	164	-1856	-85	-1958.26	-149.47	-1.53	-3.055	-358.582	0.000	-164.57
9.204	156	-152	163	-1940	-84	-2046.89	-147.71	-4.29	-8.572	-717.187	0.000	-163.06
9.304	160	-151	168	-2024	-84	-2135.52	-147.71	-3.29	-6.572	-587.187	0.000	-168.57
9.404	156	-152	166	-2109	-85	-2225.20	-149.47	-2.53	-5.055	-488.582	0.000	-166.57
9.504	156	-152	165	-2194	-85	-2314.89	-149.47	-2.53	-5.055	-488.582	0.000	-165.06
9.604	156	-151	165	-2278	-84	-2403.52	-147.71	-3.29	-6.572	-587.187	0.000	-165.06
9.704	160	-149	166	-2363	-85	-2493.20	-149.47	0.47	0.945	-98.582	0.000	-166.57
9.804	156	-143	97	-2444	-81	-2578.66	-142.44	-0.56	-1.123	-171.584	0.000	-97.64
9.904	156	-135	161	-2520	-76	-2658.85	-133.65	-1.35	-2.708	-336.026	0.000	-161.12
10.004	160	-127	162	-2601	-81	-2744.31	-142.44	15.44	30.877	1846.998	0.000	-162.71
10.104	160	-117	190	-2619	-18	-2763.31	-31.65	-85.35	-170.694	-10935.113	0.000	190.88
10.204	160	-107	255	-2644	-25	-2789.68	-43.96	-63.04	-126.075	-8354.877	0.000	-330.69
10.304	160	-94	255	-2721	-77	-2870.93	-135.40	41.40	82.809	5222.578	0.000	-286.08
10.404	160	-80	242	-2729	-8	-2879.37	-14.07	-65.93	-131.864	-8411.162	0.000	242.81
10.504	160	-64	255	-2746	-17	-2897.30	-29.89	-34.11	-68.211	-4593.716	0.000	-291.86
10.604	160	-62	228	-2818	-72	-2973.27	-126.61	64.61	129.224	8239.554	0.000	-228.21
10.704	164	-61	255	-2819	-1	-2974.33	-1.76	-59.24	-118.483	-7541.395	0.000	289.22
